OrderNo;FileName;ErrorsValue;ErrorProviderType;CorrectionBytesCount;DecoderType;ProvidedErrorsCount;ErrorsAfterDecoding;Time [ms];FileSize [pix]
25;sandwich;16;GroupErrorsForEveryBlock;40;Simple;1456;479;44153;6500
145;sandwich;1;PercentageOfErrors;40;Simple;232;195;40376;6500
26;sandwich;20;GroupErrorsForEveryBlock;10;Simple;1600;568;44014;6500
146;sandwich;2;PercentageOfErrors;10;Simple;409;375;43593;6500
27;sandwich;20;GroupErrorsForEveryBlock;16;Simple;1640;595;44911;6500
147;sandwich;2;PercentageOfErrors;16;Simple;419;377;44764;6500
28;sandwich;20;GroupErrorsForEveryBlock;24;Simple;1700;602;45241;6500
148;sandwich;2;PercentageOfErrors;24;Simple;435;369;44559;6500
29;sandwich;20;GroupErrorsForEveryBlock;32;Simple;1760;564;47117;6500
149;sandwich;2;PercentageOfErrors;32;Simple;450;372;46105;6500
30;sandwich;20;GroupErrorsForEveryBlock;40;Simple;1820;587;48249;6500
150;sandwich;2;PercentageOfErrors;40;Simple;465;388;48061;6500
31;sandwich;1;SingleErrorsForEveryBlock;10;Simple;80;75;44765;6500
151;sandwich;5;PercentageOfErrors;10;Simple;1024;902;45338;6500
32;sandwich;1;SingleErrorsForEveryBlock;16;Simple;82;74;41541;6500
152;sandwich;5;PercentageOfErrors;16;Simple;1049;921;45097;6500
33;sandwich;1;SingleErrorsForEveryBlock;24;Simple;85;69;42813;6500
153;sandwich;5;PercentageOfErrors;24;Simple;1088;909;47121;6500
34;sandwich;1;SingleErrorsForEveryBlock;32;Simple;88;71;41671;6500
154;sandwich;5;PercentageOfErrors;32;Simple;1126;906;46013;6500
35;sandwich;1;SingleErrorsForEveryBlock;40;Simple;91;67;36740;6500
155;sandwich;5;PercentageOfErrors;40;Simple;1164;885;45234;6500
36;sandwich;2;SingleErrorsForEveryBlock;10;Simple;160;150;44081;6500
156;sandwich;10;PercentageOfErrors;10;Simple;2048;1682;44662;6500
37;sandwich;2;SingleErrorsForEveryBlock;16;Simple;164;153;44453;6500
157;sandwich;10;PercentageOfErrors;16;Simple;2099;1668;46188;6500
38;sandwich;2;SingleErrorsForEveryBlock;24;Simple;170;147;48071;6500
158;sandwich;10;PercentageOfErrors;24;Simple;2176;1681;48749;6500
39;sandwich;2;SingleErrorsForEveryBlock;32;Simple;176;151;49227;6500
159;sandwich;10;PercentageOfErrors;32;Simple;2252;1678;49385;6500
40;sandwich;2;SingleErrorsForEveryBlock;40;Simple;182;149;47403;6500
160;sandwich;10;PercentageOfErrors;40;Simple;2329;1697;48009;6500
161;sandwich;0,01;ErrorsWithProbability;10;Extended;183;20;475;6500
162;sandwich;0,01;ErrorsWithProbability;16;Extended;213;2;470;6500
163;sandwich;0,01;ErrorsWithProbability;24;Extended;218;0;504;6500
164;sandwich;0,01;ErrorsWithProbability;32;Extended;217;0;521;6500
165;sandwich;0,01;ErrorsWithProbability;40;Extended;235;2;553;6500
166;sandwich;0,02;ErrorsWithProbability;10;Extended;408;211;452;6500
167;sandwich;0,02;ErrorsWithProbability;16;Extended;425;56;492;6500
168;sandwich;0,02;ErrorsWithProbability;24;Extended;418;2;477;6500
169;sandwich;0,02;ErrorsWithProbability;32;Extended;443;2;513;6500
170;sandwich;0,02;ErrorsWithProbability;40;Extended;487;2;594;6500
171;sandwich;0,05;ErrorsWithProbability;10;Extended;978;882;451;6500
172;sandwich;0,05;ErrorsWithProbability;16;Extended;1066;931;462;6500
173;sandwich;0,05;ErrorsWithProbability;24;Extended;1119;653;509;6500
174;sandwich;0,05;ErrorsWithProbability;32;Extended;1106;152;519;6500
175;sandwich;0,05;ErrorsWithProbability;40;Extended;1173;41;555;6500
176;sandwich;0,1;ErrorsWithProbability;10;Extended;2022;1749;464;6500
177;sandwich;0,1;ErrorsWithProbability;16;Extended;2172;1811;473;6500
178;sandwich;0,1;ErrorsWithProbability;24;Extended;2261;1796;480;6500
179;sandwich;0,1;ErrorsWithProbability;32;Extended;2262;1749;538;6500
180;sandwich;0,1;ErrorsWithProbability;40;Extended;2372;1662;566;6500
181;sandwich;1;PercentageOfErrors;10;Extended;204;18;446;6500
182;sandwich;1;PercentageOfErrors;16;Extended;209;2;472;6500
183;sandwich;1;PercentageOfErrors;24;Extended;217;1;509;6500
184;sandwich;1;PercentageOfErrors;32;Extended;225;1;536;6500
185;sandwich;1;PercentageOfErrors;40;Extended;232;0;533;6500
186;sandwich;2;PercentageOfErrors;10;Extended;409;210;462;6500
187;sandwich;2;PercentageOfErrors;16;Extended;419;8;466;6500
188;sandwich;2;PercentageOfErrors;24;Extended;435;2;493;6500
41;sandwich;5;SingleErrorsForEveryBlock;10;Simple;400;369;56283;6500
189;sandwich;2;PercentageOfErrors;32;Extended;450;0;523;6500
190;sandwich;2;PercentageOfErrors;40;Extended;465;3;540;6500
191;sandwich;5;PercentageOfErrors;10;Extended;1024;902;487;6500
192;sandwich;5;PercentageOfErrors;16;Extended;1049;837;502;6500
193;sandwich;5;PercentageOfErrors;24;Extended;1088;473;508;6500
194;sandwich;5;PercentageOfErrors;32;Extended;1126;152;518;6500
195;sandwich;5;PercentageOfErrors;40;Extended;1164;40;543;6500
196;sandwich;10;PercentageOfErrors;10;Extended;2048;1668;443;6500
197;sandwich;10;PercentageOfErrors;16;Extended;2099;1682;478;6500
198;sandwich;10;PercentageOfErrors;24;Extended;2176;1668;530;6500
199;sandwich;10;PercentageOfErrors;32;Extended;2252;1634;538;6500
200;sandwich;10;PercentageOfErrors;40;Extended;2329;1339;570;6500
42;sandwich;5;SingleErrorsForEveryBlock;16;Simple;410;377;49861;6500
48;sandwich;10;SingleErrorsForEveryBlock;24;Simple;850;733;46286;6500
43;sandwich;5;SingleErrorsForEveryBlock;24;Simple;425;380;46786;6500
49;sandwich;10;SingleErrorsForEveryBlock;32;Simple;880;727;46715;6500
44;sandwich;5;SingleErrorsForEveryBlock;32;Simple;440;377;48349;6500
50;sandwich;10;SingleErrorsForEveryBlock;40;Simple;910;718;48549;6500
45;sandwich;5;SingleErrorsForEveryBlock;40;Simple;455;379;47136;6500
